# as_of_year	respondent_id	agency_name	agency_abbr	agency_code	loan_type_name	loan_type	property_type_name	property_type	loan_purpose_name	loan_purpose	owner_occupancy_name	owner_occupancy	loan_amount_000s	preapproval_name	preapproval	action_taken_name	action_taken	msamd_name	msamd	state_name	state_abbr	state_code	county_name	county_code	census_tract_number	applicant_ethnicity_name	applicant_ethnicity	co_applicant_ethnicity_name	co_applicant_ethnicity	applicant_race_name_1	applicant_race_1	applicant_race_name_2	applicant_race_2	applicant_race_name_3	applicant_race_3	applicant_race_name_4	applicant_race_4	applicant_race_name_5	applicant_race_5	co_applicant_race_name_1	co_applicant_race_1	co_applicant_race_name_2	co_applicant_race_2	co_applicant_race_name_3	co_applicant_race_3	co_applicant_race_name_4	co_applicant_race_4	co_applicant_race_name_5	co_applicant_race_5	applicant_sex_name	applicant_sex	co_applicant_sex_name	co_applicant_sex	applicant_income_000s	purchaser_type_name	purchaser_type	denial_reason_name_1	denial_reason_1	denial_reason_name_2	denial_reason_2	denial_reason_name_3	denial_reason_3	rate_spread	hoepa_status_name	hoepa_status	lien_status_name	lien_status	edit_status_name	edit_status	sequence_number	population	minority_population	hud_median_family_income	tract_to_msamd_income	number_of_owner_occupied_units	number_of_1_to_4_family_units	application_date_indicator	redlining_score
2017	01-0726495	Department of Housing and Urban Development	HUD	7	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	190	Preapproval was not requested	2	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0016.00	Not Hispanic or Latino	2	Not Hispanic or Latino	2	White	5									White	5									Male	1	Female	2	41	Fannie Mae (FNMA)	1								Not a HOEPA loan	2	Secured by a first lien	1				1849	33.529998779296875	50500	110.81999969482422	668	761		0.18086404286115837
2017	76-0503625	Department of Housing and Urban Development	HUD	7	VA-guaranteed	3	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	310	Preapproval was not requested	2	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0028.08	Hispanic or Latino	1	Not Hispanic or Latino	2	White	5									White	5									Female	2	Male	1	106	Ginnie Mae (GNMA)	2								Not a HOEPA loan	2	Secured by a first lien	1				3139	39.380001068115234	50500	198.52000427246094	998	1140		0.0
2017	26-1773722	Department of Housing and Urban Development	HUD	7	FHA-insured	2	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	51	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0020.00	Hispanic or Latino	1	No co-applicant	5	White	5									No co-applicant	8									Female	2	No co-applicant	5	14	Life insurance company, credit union, mortgage bank, or finance company	7								Not a HOEPA loan	2	Secured by a first lien	1				3201	72.06999969482422	50500	61.41999816894531	650	1460		0.7193196445799027
2017	7197000003	Department of Housing and Urban Development	HUD	7	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	87	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0001.00	Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	Information not provided by applicant in mail, Internet, or telephone application	6									No co-applicant	8									Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	18	Freddie Mac (FHLMC)	3								Not a HOEPA loan	2	Secured by a first lien	1				2647	42.79999923706055	50500	96.63999938964844	777	1306		0.28955855281132525
2017	54-0259290	Consumer Financial Protection Bureau	CFPB	9	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	128	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0009.04	Not Hispanic or Latino	2	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	3	81	Fannie Mae (FNMA)	1								Not a HOEPA loan	2	Secured by a first lien	1				4078	39.630001068115234	50500	70.93000030517578	1079	1580		0.0
2017	7197000003	Department of Housing and Urban Development	HUD	7	FHA-insured	2	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	194	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0029.13	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	3	129	Ginnie Mae (GNMA)	2								Not a HOEPA loan	2	Secured by a first lien	1				3491	16.559999465942383	50500	146.83999633789062	1188	1355		0.0
2017	7197000003	Department of Housing and Urban Development	HUD	7	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	280	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0029.17	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	3	94	Fannie Mae (FNMA)	1								Not a HOEPA loan	2	Secured by a first lien	1				2874	26.200000762939453	50500	124.5199966430664	771	1082		0.0
2017	0000504713	Consumer Financial Protection Bureau	CFPB	9	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	75	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0027.00	Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	Information not provided by applicant in mail, Internet, or telephone application	6									No co-applicant	8									Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	31	Loan was not originated or was not sold in calendar year covered by register	0								Not a HOEPA loan	2	Secured by a first lien	1				5417	59.91999816894531	50500	70.0199966430664	1466	2186		1.0
2017	7197000003	Department of Housing and Urban Development	HUD	7	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	303	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0031.04	Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	Information not provided by applicant in mail, Internet, or telephone application	6									No co-applicant	8									Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	65	Fannie Mae (FNMA)	1								Not a HOEPA loan	2	Secured by a first lien	1				2248	33.04999923706055	50500	126.9800033569336	824	964		0.0
2017	7197000003	Department of Housing and Urban Development	HUD	7	VA-guaranteed	3	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	102	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0029.13	Not Hispanic or Latino	2	Not Hispanic or Latino	2	Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	6									Male	1	Female	2	52	Ginnie Mae (GNMA)	2								Not a HOEPA loan	2	Secured by a first lien	1				3491	16.559999465942383	50500	146.83999633789062	1188	1355		0.0
2017	33-0975529	Department of Housing and Urban Development	HUD	7	VA-guaranteed	3	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	122	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0009.04	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	3	53	Life insurance company, credit union, mortgage bank, or finance company	7								Not a HOEPA loan	2	Secured by a first lien	1				4078	39.630001068115234	50500	70.93000030517578	1079	1580		0.0
2017	7197000003	Department of Housing and Urban Development	HUD	7	FHA-insured	2	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	57	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0022.00	Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	Information not provided by applicant in mail, Internet, or telephone application	6									No co-applicant	8									Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	16	Ginnie Mae (GNMA)	2								Not a HOEPA loan	2	Secured by a first lien	1				1496	61.15999984741211	50500	81.4000015258789	304	714		0.4623329337917532
2017	0000451965	Consumer Financial Protection Bureau	CFPB	9	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	134	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0029.13	Hispanic or Latino	1	No co-applicant	5	White	5									No co-applicant	8									Female	2	No co-applicant	5	41	Fannie Mae (FNMA)	1							01.51	Not a HOEPA loan	2	Secured by a first lien	1				3491	16.559999465942383	50500	146.83999633789062	1188	1355		0.0
2017	0000068671	National Credit Union Administration	NCUA	5	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	143	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0009.04	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	3	White	5									White	5									Male	1	Female	2	29	Loan was not originated or was not sold in calendar year covered by register	0								Not a HOEPA loan	2	Secured by a first lien	1				4078	39.630001068115234	50500	70.93000030517578	1079	1580		0.0
2017	46-2077362	Department of Housing and Urban Development	HUD	7	FHA-insured	2	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	158	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0030.04	Hispanic or Latino	1	Hispanic or Latino	1	White	5									White	5									Male	1	Female	2	73	Life insurance company, credit union, mortgage bank, or finance company	7							01.95	Not a HOEPA loan	2	Secured by a first lien	1				2827	41.560001373291016	50500	184.6300048828125	824	1039		0.0
2017	83-0368862	Department of Housing and Urban Development	HUD	7	VA-guaranteed	3	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	250	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0029.13	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	6									Male	1	Female	2	89	Other type of purchaser	9								Not a HOEPA loan	2	Secured by a first lien	1				3491	16.559999465942383	50500	146.83999633789062	1188	1355		0.0
2017	0000068671	National Credit Union Administration	NCUA	5	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	164	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0001.00	Not Hispanic or Latino	2	Hispanic or Latino	1	White	5									Information not provided by applicant in mail, Internet, or telephone application	6									Male	1	Female	2	116	Loan was not originated or was not sold in calendar year covered by register	0								Not a HOEPA loan	2	Secured by a first lien	1				2647	42.79999923706055	50500	96.63999938964844	777	1306		0.28955855281132525
2017	7197000003	Department of Housing and Urban Development	HUD	7	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	194	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0029.13	Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	Information not provided by applicant in mail, Internet, or telephone application	6									No co-applicant	8									Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	99	Fannie Mae (FNMA)	1								Not a HOEPA loan	2	Secured by a first lien	1				3491	16.559999465942383	50500	146.83999633789062	1188	1355		0.0
2017	7197000003	Department of Housing and Urban Development	HUD	7	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	129	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0028.06	Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	Information not provided by applicant in mail, Internet, or telephone application	6									No co-applicant	8									Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	62	Fannie Mae (FNMA)	1								Not a HOEPA loan	2	Secured by a first lien	1				3732	25.700000762939453	50500	138.86000061035156	1210	1737		0.6482573218312083
2017	7197000003	Department of Housing and Urban Development	HUD	7	FHA-insured	2	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	153	Preapproval was not requested	2	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0028.01	Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	Information not provided by applicant in mail, Internet, or telephone application	6									No co-applicant	8									Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	59	Ginnie Mae (GNMA)	2								Not a HOEPA loan	2	Secured by a first lien	1				5318	55.31999969482422	50500	84.33000183105469	1396	1947		0.0
2017	26-0362771	Department of Housing and Urban Development	HUD	7	FHA-insured	2	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	163	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0028.07	Not Hispanic or Latino	2	Not Hispanic or Latino	2	Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	6									Male	1	Female	2		Ginnie Mae (GNMA)	2								Not a HOEPA loan	2	Secured by a first lien	1				4480	48.619998931884766	50500	128.27999877929688	1321	1721		0.0
2017	26-4599244	Department of Housing and Urban Development	HUD	7	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	237	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0029.13	Not Hispanic or Latino	2	Not Hispanic or Latino	2	White	5									White	5									Female	2	Male	1	103	Freddie Mac (FHLMC)	3								Not a HOEPA loan	2	Secured by a first lien	1				3491	16.559999465942383	50500	146.83999633789062	1188	1355		0.0
2017	26-1234082	Department of Housing and Urban Development	HUD	7	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	226	Preapproval was not requested	2	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0028.07	Not Hispanic or Latino	2	No co-applicant	5	Information not provided by applicant in mail, Internet, or telephone application	6									No co-applicant	8									Female	2	No co-applicant	5	74	Life insurance company, credit union, mortgage bank, or finance company	7								Not a HOEPA loan	2	Secured by a first lien	1				4480	48.619998931884766	50500	128.27999877929688	1321	1721		0.0
2017	0000011065	National Credit Union Administration	NCUA	5	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	70	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0027.00	Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	Information not provided by applicant in mail, Internet, or telephone application	6									No co-applicant	8									Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	59	Loan was not originated or was not sold in calendar year covered by register	0								Not a HOEPA loan	2	Secured by a first lien	1				5417	59.91999816894531	50500	70.0199966430664	1466	2186		1.0
2017	0000068671	National Credit Union Administration	NCUA	5	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	173	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0028.08	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	3	122	Loan was not originated or was not sold in calendar year covered by register	0								Not a HOEPA loan	2	Secured by a first lien	1				3139	39.380001068115234	50500	198.52000427246094	998	1140		0.0
2017	7197000003	Department of Housing and Urban Development	HUD	7	VA-guaranteed	3	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	18	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0028.01	Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	Information not provided by applicant in mail, Internet, or telephone application	6									No co-applicant	8									Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	19	Ginnie Mae (GNMA)	2								Not a HOEPA loan	2	Secured by a first lien	1				5318	55.31999969482422	50500	84.33000183105469	1396	1947		0.0
2017	7516800003	Department of Housing and Urban Development	HUD	7	FHA-insured	2	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	198	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0028.08	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	3		Commercial bank, savings bank or savings association	6								Not a HOEPA loan	2	Secured by a first lien	1				3139	39.380001068115234	50500	198.52000427246094	998	1140		0.0
2017	20-8745846	Department of Housing and Urban Development	HUD	7	FHA-insured	2	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	63	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0021.00	Hispanic or Latino	1	Hispanic or Latino	1	Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	6									Male	1	Female	2		Ginnie Mae (GNMA)	2							01.50	Not a HOEPA loan	2	Secured by a first lien	1				1576	75.81999969482422	50500	74.7699966430664	287	686		0.6744723935543664
2017	7197000003	Department of Housing and Urban Development	HUD	7	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	215	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0028.08	Not Hispanic or Latino	2	Hispanic or Latino	1	White	5									Information not provided by applicant in mail, Internet, or telephone application	6									Male	1	Female	2	175	Loan was not originated or was not sold in calendar year covered by register	0								Not a HOEPA loan	2	Secured by a first lien	1				3139	39.380001068115234	50500	198.52000427246094	998	1140		0.0
2017	0000068240	National Credit Union Administration	NCUA	5	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Home purchase	1	Owner-occupied as a principal dwelling	1	45	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0026.00	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	3	Information not provided by applicant in mail, Internet, or telephone application	6									Information not provided by applicant in mail, Internet, or telephone application	6									Male	1	Female	2	27	Loan was not originated or was not sold in calendar year covered by register	0								Not a HOEPA loan	2	Secured by a first lien	1				3751	66.16999816894531	50500	46.04999923706055	454	1079		0.7501743117351571
2017	0000068671	National Credit Union Administration	NCUA	5	Conventional	1	One-to-four family dwelling (other than manufactured housing)	1	Refinancing	3	Owner-occupied as a principal dwelling	1	120	Not applicable	3	Loan originated	1	Pueblo - CO	39380	Colorado	CO	8	Pueblo County	101	0028.01	Information not provided by applicant in mail, Internet, or telephone application	3	No co-applicant	5	Information not provided by applicant in mail, Internet, or telephone application	6									No co-applicant	8									Female	2	No co-applicant	5	44	Loan was not originated or was not sold in calendar year covered by register	0								Not a HOEPA loan	2	Secured by a first lien	1				5318	55.31999969482422	50500	84.33000183105469	1396	1947		0.0
